connection,member_tag,type,demand_kip_or_kipft,note
brace @ 100/100200,241,axial,P=131.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 200/100100,242,axial,P=131.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 100100/200200,243,axial,P=106.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 100200/200100,244,axial,P=106.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 200100/300200,245,axial,P=97.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 200200/300100,246,axial,P=97.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 300100/400200,247,axial,P=84.9 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 300200/400100,248,axial,P=84.9 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 400100/500200,249,axial,P=64.7 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 400200/500100,250,axial,P=64.7 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 500100/600200,251,axial,P=55.4 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 500200/600100,252,axial,P=55.4 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 600100/700200,253,axial,P=40.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 600200/700100,254,axial,P=40.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 700100/800200,255,axial,P=21.7 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 700200/800100,256,axial,P=21.7 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 304/100404,257,axial,P=131.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 404/100304,258,axial,P=131.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 100304/200404,259,axial,P=106.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 100404/200304,260,axial,P=106.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 200304/300404,261,axial,P=97.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 200404/300304,262,axial,P=97.3 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 300304/400404,263,axial,P=84.9 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 300404/400304,264,axial,P=84.9 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 400304/500404,265,axial,P=64.7 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 400404/500304,266,axial,P=64.7 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 500304/600404,267,axial,P=55.4 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 500404/600304,268,axial,P=55.4 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 600304/700404,269,axial,P=40.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 600404/700304,270,axial,P=40.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 700304/800404,271,axial,P=21.7 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 700404/800304,272,axial,P=21.7 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
brace @ 1/100002,273,axial,P=199.2 kip,gusset/weld per AISC 360 Ch.J; seismic capacity-design RyFyAg per AISC 341 (agent)
