ele_tag,member,section,length_in,P_comp_kip,P_tens_kip,Mx_kipft,My_kipft,V_kip,governing_combo
1,col,W14X109,180.0,327.2,0.0,19.7,5.2,1.3,1.2D+1.6L+0.5Lr
2,col,W14X109,156.0,282.8,0.0,19.7,5.2,2.5,1.2D+1.6L+0.5Lr
3,col,W14X99,156.0,239.4,0.0,12.4,2.6,1.4,1.2D+1.6L+0.5Lr
4,col,W14X99,156.0,195.9,0.0,25.3,4.8,2.4,1.2D+1.6L+0.5Lr
5,col,W14X82,156.0,152.5,0.0,25.3,4.8,2.1,1.2D+1.6L+0.5Lr
6,col,W14X82,156.0,109.1,0.0,3.0,0.9,0.4,1.2D+1.6L+0.5Lr
7,col,W14X61,156.0,65.7,0.0,5.4,1.0,0.5,1.2D+1.6L+0.5Lr
8,col,W14X61,156.0,26.5,0.0,5.4,1.0,0.4,1.2D+1.6Lr+0.5L
9,col,W14X159,180.0,1559.8,912.0,30.8,8.9,2.1,(1.2+0.2SDS)D+Om0*EY-+0.5L [col]
10,col,W14X159,156.0,1282.3,714.3,30.8,8.9,3.6,(1.2+0.2SDS)D+Om0*EY-+0.5L [col]
11,col,W14X120,156.0,1025.3,546.4,16.6,3.7,1.9,(1.2+0.2SDS)D+Om0*EY-+0.5L [col]
12,col,W14X120,156.0,778.7,384.4,27.8,5.1,2.7,(1.2+0.2SDS)D+Om0*EY-+0.5L [col]
13,col,W14X82,156.0,554.5,242.5,27.8,5.1,2.4,(1.2+0.2SDS)D+Om0*EY-+0.5L [col]
14,col,W14X82,156.0,356.6,128.7,3.3,1.0,0.4,(1.2+0.2SDS)D+Om0*EY-+0.5L [col]
15,col,W14X61,156.0,188.4,44.8,5.5,1.0,0.5,(1.2+0.2SDS)D+Om0*EY-+0.5L [col]
16,col,W14X61,156.0,63.0,0.1,5.5,1.0,0.4,(1.2+0.2SDS)D+Om0*EY-+0.5L [col]
17,col,W14X159,180.0,1559.7,912.1,30.8,8.9,2.1,(1.2+0.2SDS)D+Om0*EY++0.5L [col]
18,col,W14X159,156.0,1282.2,714.4,30.8,8.9,3.6,(1.2+0.2SDS)D+Om0*EY++0.5L [col]
19,col,W14X120,156.0,1025.2,546.5,16.6,3.7,1.9,(1.2+0.2SDS)D+Om0*EY++0.5L [col]
20,col,W14X120,156.0,778.7,384.4,27.8,5.1,2.7,(1.2+0.2SDS)D+Om0*EY++0.5L [col]
21,col,W14X82,156.0,554.5,242.6,27.8,5.1,2.4,(1.2+0.2SDS)D+Om0*EY++0.5L [col]
22,col,W14X82,156.0,356.6,128.7,3.3,1.0,0.4,(1.2+0.2SDS)D+Om0*EY++0.5L [col]
23,col,W14X61,156.0,188.4,44.8,5.5,1.0,0.5,(1.2+0.2SDS)D+Om0*EY++0.5L [col]
24,col,W14X61,156.0,63.0,0.1,5.5,1.0,0.4,(1.2+0.2SDS)D+Om0*EY++0.5L [col]
25,col,W14X109,180.0,600.6,0.0,19.7,5.2,1.3,1.2D+1.6L+0.5Lr
26,col,W14X109,156.0,519.9,0.0,19.7,5.2,2.5,1.2D+1.6L+0.5Lr
27,col,W14X99,156.0,440.1,0.0,12.4,2.6,1.4,1.2D+1.6L+0.5Lr
28,col,W14X99,156.0,360.3,0.0,25.3,4.8,2.4,1.2D+1.6L+0.5Lr
29,col,W14X82,156.0,280.5,0.0,25.3,4.8,2.1,1.2D+1.6L+0.5Lr
30,col,W14X82,156.0,200.7,0.0,3.0,0.9,0.4,1.2D+1.6L+0.5Lr
31,col,W14X61,156.0,120.9,0.0,5.4,1.0,0.5,1.2D+1.6L+0.5Lr
32,col,W14X61,156.0,49.4,0.0,5.4,1.0,0.4,1.2D+1.6Lr+0.5L
33,col,W14X109,180.0,327.2,0.0,19.7,5.2,1.3,1.2D+1.6L+0.5Lr
34,col,W14X109,156.0,282.8,0.0,19.7,5.2,2.5,1.2D+1.6L+0.5Lr
35,col,W14X99,156.0,239.4,0.0,12.4,2.6,1.4,1.2D+1.6L+0.5Lr
36,col,W14X99,156.0,195.9,0.0,25.3,4.8,2.4,1.2D+1.6L+0.5Lr
37,col,W14X82,156.0,152.5,0.0,25.3,4.8,2.1,1.2D+1.6L+0.5Lr
38,col,W14X82,156.0,109.1,0.0,3.0,0.9,0.4,1.2D+1.6L+0.5Lr
39,col,W14X61,156.0,65.7,0.0,5.4,1.0,0.5,1.2D+1.6L+0.5Lr
40,col,W14X61,156.0,26.5,0.0,5.4,1.0,0.4,1.2D+1.6Lr+0.5L
41,col,W14X159,180.0,1372.9,710.0,22.4,12.3,1.5,(1.2+0.2SDS)D+Om0*EX-+0.5L [col]
42,col,W14X159,156.0,1131.4,552.1,22.4,12.3,2.5,(1.2+0.2SDS)D+Om0*EX-+0.5L [col]
43,col,W14X120,156.0,908.5,418.5,10.6,5.8,1.2,(1.2+0.2SDS)D+Om0*EX-+0.5L [col]
44,col,W14X120,156.0,692.8,288.8,23.9,5.9,2.2,(1.2+0.2SDS)D+Om0*EX-+0.5L [col]
45,col,W14X82,156.0,496.8,177.3,23.9,5.9,2.1,(1.2+0.2SDS)D+Om0*EX-+0.5L [col]
46,col,W14X82,156.0,324.1,90.3,4.0,0.8,0.6,(1.2+0.2SDS)D+Om0*EX-+0.5L [col]
47,col,W14X61,156.0,174.9,26.8,5.9,0.9,0.7,(1.2+0.2SDS)D+Om0*EX-+0.5L [col]
48,col,W14X61,156.0,60.0,0.0,5.9,0.9,0.5,(1.2+0.2SDS)D+Om0*EX-+0.5L [col]
49,col,W14X109,180.0,1111.7,0.0,14.3,7.2,1.0,1.2D+1.6L+0.5Lr
50,col,W14X109,156.0,963.8,0.0,14.3,7.2,1.7,1.2D+1.6L+0.5Lr
51,col,W14X99,156.0,815.9,0.0,8.0,4.2,0.8,1.2D+1.6L+0.5Lr
52,col,W14X99,156.0,668.0,0.0,21.8,5.6,1.9,1.2D+1.6L+0.5Lr
53,col,W14X82,156.0,520.0,0.0,21.8,5.6,1.9,1.2D+1.6L+0.5Lr
54,col,W14X82,156.0,372.1,0.0,3.5,0.8,0.5,1.2D+1.6L+0.5Lr
55,col,W14X61,156.0,224.2,0.0,5.9,0.9,0.7,1.2D+1.6L+0.5Lr
56,col,W14X61,156.0,93.0,0.0,5.9,0.9,0.5,1.2D+1.6Lr+0.5L
57,col,W14X109,180.0,1111.7,0.0,14.3,7.2,1.0,1.2D+1.6L+0.5Lr
58,col,W14X109,156.0,963.8,0.0,14.3,7.2,1.7,1.2D+1.6L+0.5Lr
59,col,W14X99,156.0,815.9,0.0,8.0,4.2,0.8,1.2D+1.6L+0.5Lr
60,col,W14X99,156.0,668.0,0.0,21.8,5.6,1.9,1.2D+1.6L+0.5Lr
61,col,W14X82,156.0,520.0,0.0,21.8,5.6,1.9,1.2D+1.6L+0.5Lr
62,col,W14X82,156.0,372.1,0.0,3.5,0.8,0.5,1.2D+1.6L+0.5Lr
63,col,W14X61,156.0,224.2,0.0,5.9,0.9,0.7,1.2D+1.6L+0.5Lr
64,col,W14X61,156.0,93.0,0.0,5.9,0.9,0.5,1.2D+1.6Lr+0.5L
65,col,W14X109,180.0,1111.7,0.0,14.3,7.2,1.0,1.2D+1.6L+0.5Lr
66,col,W14X109,156.0,963.8,0.0,14.3,7.2,1.7,1.2D+1.6L+0.5Lr
67,col,W14X99,156.0,815.9,0.0,8.0,4.2,0.8,1.2D+1.6L+0.5Lr
68,col,W14X99,156.0,667.9,0.0,21.8,5.6,1.9,1.2D+1.6L+0.5Lr
69,col,W14X82,156.0,520.0,0.0,21.8,5.6,1.9,1.2D+1.6L+0.5Lr
70,col,W14X82,156.0,372.1,0.0,3.5,0.8,0.5,1.2D+1.6L+0.5Lr
71,col,W14X61,156.0,224.2,0.0,5.9,0.9,0.7,1.2D+1.6L+0.5Lr
72,col,W14X61,156.0,93.0,0.0,5.9,0.9,0.5,1.2D+1.6Lr+0.5L
73,col,W14X109,180.0,609.6,0.0,14.3,7.2,1.0,1.2D+1.6L+0.5Lr
