roof_disp_in,base_shear_kip
-0.00000,-0.000
0.84800,158.959
1.69600,317.539
2.54400,460.546
3.39200,594.973
4.24000,723.279
5.08800,841.427
5.93600,948.926
6.78400,1053.662
7.63200,1156.874
8.48000,1260.023
9.32800,1363.089
10.17600,1443.419
11.02400,1472.036
11.87200,1513.379
12.72000,1559.165
13.56800,1604.959
14.41600,1650.760
15.26400,1669.173
16.11200,1671.242
16.96000,1673.729
17.80800,1678.843
18.65600,1683.950
19.50400,1689.050
20.35200,1694.144
21.20000,1687.426
22.04800,1679.542
22.89600,1680.304
23.74400,1681.061
24.59200,1681.816
25.44000,1682.567
26.28800,1676.630
27.13600,1667.392
27.98400,1605.505
28.83200,1539.948
29.68000,1505.371
30.52800,1488.810
31.37600,1483.481
32.22400,1475.165
33.07200,1466.491
33.92000,1457.801
34.76800,1449.107
35.61600,1440.409
36.46400,1431.709
37.31200,1423.005
38.16000,1414.297
39.00800,1405.587
39.85600,1396.873
40.70400,1388.157
41.55200,1379.437
42.40000,1370.713
43.24800,1361.982
44.09600,1352.940
44.94400,1343.838
45.79200,1334.734
46.64000,1325.627
47.48800,1316.518
48.33600,1307.406
49.18400,1298.291
50.03200,1289.174
50.88000,1280.055
51.72800,1270.932
52.57600,1261.808
53.00000,-80.819
