roof_disp_in,base_shear_kip
0.00000,-0.000
0.84800,127.781
1.69600,255.564
2.54400,383.349
3.39200,502.975
4.24000,617.461
5.08800,728.869
5.93600,839.000
6.78400,943.933
7.63200,1047.695
8.48000,1142.159
9.32800,1235.929
10.17600,1329.157
11.02400,1392.468
11.87200,1403.112
12.72000,1412.885
13.56800,1441.741
14.41600,1474.808
15.26400,1507.882
16.11200,1540.963
16.96000,1572.993
17.80800,1577.581
18.65600,1582.072
19.50400,1587.811
20.35200,1602.136
21.20000,1607.554
22.04800,1606.909
22.89600,1606.253
23.74400,1605.587
24.59200,1604.911
25.44000,1604.224
26.28800,1603.527
27.13600,1602.819
27.98400,1602.100
28.83200,1601.371
29.68000,1600.631
30.52800,1600.816
31.37600,1598.851
32.22400,1596.286
33.07200,1593.717
33.92000,1591.142
34.76800,1588.562
35.61600,1585.977
36.46400,1583.386
37.31200,1580.791
38.16000,1578.190
39.00800,1575.584
39.85600,1572.972
40.70400,1570.356
41.55200,1563.938
42.40000,1557.079
43.24800,1553.738
44.09600,1550.163
44.94400,1546.583
45.79200,1543.001
46.64000,1526.499
47.48800,1507.116
48.33600,1472.398
49.18400,1344.020
50.03200,1289.944
50.88000,1292.557
51.72800,1295.171
52.57600,1297.706
53.42400,1297.243
54.27200,1296.279
55.12000,1295.285
55.54400,1295.894
