connection,member_tag,type,demand_kip_or_kipft,note
beam-end @ 100000/100100,211,shear (+moment if MF),"V=116.1 kip, M=955.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100100/100200,212,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100200/100300,213,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100300/100400,214,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100400/100500,215,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100500/100600,216,shear (+moment if MF),"V=116.1 kip, M=962.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100001/100101,217,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100101/100201,218,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100201/100301,219,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100301/100401,220,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100401/100501,221,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100501/100601,222,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100002/100102,223,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
beam-end @ 100102/100202,224,shear (+moment if MF),"V=116.1 kip, M=870.8 kip-ft",size per AISC 360 Ch.J (agent derives bolt/weld/plate from RAG); MF per A358
