ele_tag,member,section,length_in,P_comp_kip,P_tens_kip,Mx_kipft,My_kipft,V_kip,governing_combo
1,col,W14X730,192.0,651.3,236.6,951.7,582.9,87.1,(1.2+0.2SDS)D+rhoEY-t-+0.5L
2,col,W14X730,168.0,517.9,175.1,513.6,640.4,90.2,(1.2+0.2SDS)D+rhoEY-t-+0.5L
3,col,W14X605,168.0,381.5,110.7,501.9,575.8,81.6,(1.2+0.2SDS)D+rhoEY-t-+0.5L
4,col,W14X605,168.0,253.3,54.8,439.7,523.6,74.4,(1.2+0.2SDS)D+rhoEY-t-+0.5L
5,col,W14X500,168.0,143.6,17.0,376.3,369.9,50.6,(1.2+0.2SDS)D+rhoEY-t-+0.5L
6,col,W14X500,168.0,53.2,0.0,274.0,272.2,36.5,(1.2+0.2SDS)D+rhoEY-t-+0.5L
7,col,W14X730,192.0,711.2,0.0,1578.3,249.0,165.0,1.2D+1.6L+0.5Lr
8,col,W14X730,168.0,579.7,0.0,1341.5,25.0,190.9,1.2D+1.6L+0.5Lr
9,col,W14X605,168.0,451.3,0.0,1159.1,20.0,162.2,1.2D+1.6L+0.5Lr
10,col,W14X605,168.0,323.4,0.0,1013.4,18.0,144.3,1.2D+1.6L+0.5Lr
11,col,W14X500,168.0,195.5,0.0,767.0,30.1,103.2,1.2D+1.6L+0.5Lr
12,col,W14X500,168.0,78.5,0.0,516.0,30.1,65.9,1.2D+1.6Lr+0.5L
13,col,W14X730,192.0,699.2,0.0,1592.9,243.9,167.8,1.2D+1.6L+0.5Lr
14,col,W14X730,168.0,572.1,0.0,1389.0,24.2,197.5,1.2D+1.6L+0.5Lr
15,col,W14X605,168.0,445.9,0.0,1192.3,19.5,166.9,1.2D+1.6L+0.5Lr
16,col,W14X605,168.0,319.4,0.0,1047.5,17.6,149.2,1.2D+1.6L+0.5Lr
17,col,W14X500,168.0,193.0,0.0,795.6,29.4,107.2,1.2D+1.6L+0.5Lr
18,col,W14X500,168.0,76.0,0.0,544.1,29.4,70.0,1.2D+1.6Lr+0.5L
19,col,W14X730,192.0,711.2,0.0,1579.3,249.0,165.2,1.2D+1.6L+0.5Lr
20,col,W14X730,168.0,579.7,0.0,1345.2,25.0,191.5,1.2D+1.6L+0.5Lr
21,col,W14X605,168.0,451.3,0.0,1164.1,20.0,162.9,1.2D+1.6L+0.5Lr
22,col,W14X605,168.0,323.4,0.0,1019.1,18.0,145.1,1.2D+1.6L+0.5Lr
23,col,W14X500,168.0,195.5,0.0,771.8,30.1,103.8,1.2D+1.6L+0.5Lr
24,col,W14X500,168.0,78.5,0.0,522.2,30.1,66.7,1.2D+1.6Lr+0.5L
25,col,W14X730,192.0,521.9,108.7,952.9,583.6,87.3,(1.2+0.2SDS)D+rhoEY+t-+0.5L
26,col,W14X730,168.0,418.3,76.7,518.4,643.6,90.7,(1.2+0.2SDS)D+rhoEY+t-+0.5L
27,col,W14X605,168.0,312.2,42.1,508.8,580.6,82.2,(1.2+0.2SDS)D+rhoEY+t-+0.5L
28,col,W14X605,168.0,211.8,13.6,447.4,529.1,75.2,(1.2+0.2SDS)D+rhoEY+t-+0.5L
29,col,W14X500,168.0,123.0,0.0,383.1,374.4,51.2,(1.2+0.2SDS)D+rhoEY+t-+0.5L
30,col,W14X500,168.0,47.3,0.0,282.5,278.1,37.3,(1.2+0.2SDS)D+rhoEY+t-+0.5L
31,col,W14X730,192.0,697.2,0.0,1045.5,362.6,104.7,1.2D+1.6L+0.5Lr
32,col,W14X730,168.0,568.8,0.0,825.2,47.8,116.4,1.2D+1.6L+0.5Lr
33,col,W14X605,168.0,442.8,0.0,737.6,27.4,102.8,1.2D+1.6L+0.5Lr
34,col,W14X605,168.0,317.1,0.0,643.7,24.2,91.3,1.2D+1.6L+0.5Lr
35,col,W14X500,168.0,191.5,0.0,495.7,47.9,65.6,1.2D+1.6L+0.5Lr
36,col,W14X500,168.0,76.6,0.0,315.0,47.9,41.2,1.2D+1.6Lr+0.5L
37,col,W14X193,192.0,1283.4,0.0,23.1,10.8,1.4,1.2D+1.6L+0.5Lr
38,col,W14X193,168.0,1051.2,0.0,23.1,10.8,1.7,1.2D+1.6L+0.5Lr
39,col,W14X145,168.0,819.0,0.0,5.7,2.9,0.5,1.2D+1.6L+0.5Lr
40,col,W14X145,168.0,586.8,0.0,5.7,2.9,0.5,1.2D+1.6L+0.5Lr
41,col,W14X90,168.0,354.6,0.0,10.3,6.0,0.9,1.2D+1.6L+0.5Lr
42,col,W14X90,168.0,142.2,0.0,10.3,6.0,0.7,1.2D+1.6Lr+0.5L
43,col,W14X193,192.0,1283.4,0.0,22.8,10.8,1.4,1.2D+1.6L+0.5Lr
44,col,W14X193,168.0,1051.2,0.0,22.8,10.8,1.7,1.2D+1.6L+0.5Lr
45,col,W14X145,168.0,819.0,0.0,5.6,2.9,0.5,1.2D+1.6L+0.5Lr
46,col,W14X145,168.0,586.8,0.0,5.6,2.9,0.5,1.2D+1.6L+0.5Lr
47,col,W14X90,168.0,354.6,0.0,10.1,6.0,0.8,1.2D+1.6L+0.5Lr
48,col,W14X90,168.0,142.2,0.0,10.1,6.0,0.7,1.2D+1.6Lr+0.5L
49,col,W14X193,192.0,1283.4,0.0,23.1,10.8,1.4,1.2D+1.6L+0.5Lr
