roof_disp_in,base_shear_kip
0.00000,-0.000
0.68800,624.140
1.37600,1248.280
2.06400,1872.420
2.75200,2496.560
3.44000,3120.700
4.12800,3744.840
4.81600,4368.980
5.50400,4974.042
6.19200,5436.638
6.88000,5681.301
7.56800,5836.166
8.25600,5984.361
8.94400,6100.260
9.63200,6201.803
10.32000,6303.347
11.00800,6404.890
11.69600,6506.434
12.38400,6607.977
13.07200,6709.521
13.76000,6811.064
14.44800,6909.514
15.13600,7007.270
15.82400,7105.026
16.51200,7201.174
17.20000,7266.463
17.88800,7324.787
18.57600,7366.315
19.26400,7406.821
19.95200,7447.326
20.64000,7487.832
21.32800,7519.609
21.67200,7496.687
22.01600,6983.403
22.36000,7017.182
22.70400,6939.538
23.04800,6296.661
23.39200,6341.303
23.56400,6352.976
23.73600,6239.591
23.82200,6221.426
23.83275,6219.841
23.84350,6218.679
23.85038,6216.852
23.85726,6215.577
23.85812,6281.760
23.85834,6215.823
23.85855,6215.454
23.85650,6213.343
