AISC_Manual_Label,Type,A,Ix,Iy,J,Zx,Zy,Sx,Sy,rx,ry,d,tw,bf,tf,Cw,rts,ho
W44X408,W,120,38700,1520,134,2000,297,1730,189,18,3.56,44.8,1.22,16.1,2.17,691000,4.33,42.6
W44X368,W,108,34700,1350,100,1800,265,1560,169,17.9,3.54,44.4,1.1,16,1.97,608000,4.28,42.4
W44X335,W,98.5,31100,1200,74.7,1620,236,1410,150,17.8,3.49,44,1.03,15.9,1.77,535000,4.24,42.2
W44X290,W,85.4,27000,1040,50.9,1410,205,1240,132,17.8,3.49,43.6,0.865,15.8,1.58,461000,4.2,42
W44X262,W,77.2,24100,923,37.3,1270,182,1110,117,17.7,3.47,43.3,0.785,15.8,1.42,405000,4.17,41.9
W44X230,W,67.8,20800,796,24.9,1100,157,971,101,17.5,3.43,42.9,0.71,15.8,1.22,346000,4.13,41.7
W40X655,W,193,56500,2870,589,3080,542,2590,340,17.1,3.86,43.6,1.97,16.9,3.54,1150000,4.71,40.1
W40X593,W,174,50400,2520,445,2760,481,2340,302,17,3.8,43,1.79,16.7,3.23,997000,4.63,39.8
W40X503,W,148,41600,2040,277,2320,394,1980,249,16.8,3.72,42.1,1.54,16.4,2.76,789000,4.5,39.3
W40X431,W,127,34800,1690,177,1960,328,1690,208,16.6,3.65,41.3,1.34,16.2,2.36,638000,4.41,38.9
W40X397,W,117,32000,1540,142,1800,300,1560,191,16.6,3.64,41,1.22,16.1,2.2,579000,4.38,38.8
W40X372,W,110,29600,1420,116,1680,277,1460,177,16.5,3.6,40.6,1.16,16.1,2.05,528000,4.33,38.6
W40X362,W,106,28900,1380,109,1640,270,1420,173,16.5,3.6,40.6,1.12,16,2.01,513000,4.33,38.6
W40X324,W,95.3,25600,1220,79.4,1460,239,1280,153,16.4,3.58,40.2,1,15.9,1.81,448000,4.27,38.4
W40X297,W,87.3,23200,1090,61.2,1330,215,1170,138,16.3,3.54,39.8,0.93,15.8,1.65,399000,4.22,38.2
W40X277,W,81.5,21900,1040,51.5,1250,204,1100,132,16.4,3.58,39.7,0.83,15.8,1.58,379000,4.25,38.1
W40X249,W,73.5,19600,926,38.1,1120,182,993,118,16.3,3.55,39.4,0.75,15.8,1.42,334000,4.21,38
W40X215,W,63.5,16700,803,24.8,964,156,859,101,16.2,3.54,39,0.65,15.8,1.22,284000,4.19,37.8
W40X199,W,58.8,14900,695,18.3,869,137,770,88.2,16,3.45,38.7,0.65,15.8,1.07,246000,4.12,37.6
W40X392,W,116,29900,803,172,1710,212,1440,130,16.1,2.64,41.6,1.42,12.4,2.52,306000,3.3,39.1
W40X331,W,97.7,24700,644,105,1430,172,1210,106,15.9,2.57,40.8,1.22,12.2,2.13,241000,3.21,38.7
W40X327,W,95.9,24500,640,103,1410,170,1200,105,16,2.58,40.8,1.18,12.1,2.13,239000,3.21,38.7
W40X294,W,86.2,21900,562,76.6,1270,150,1080,93.5,15.9,2.55,40.4,1.06,12,1.93,208000,3.16,38.5
W40X278,W,82.3,20500,521,65,1190,140,1020,87.1,15.8,2.52,40.2,1.03,12,1.81,192000,3.13,38.4
W40X264,W,77.4,19400,493,56.1,1130,132,971,82.6,15.8,2.52,40,0.96,11.9,1.73,181000,3.12,38.3
W40X235,W,69.1,17400,444,41.3,1010,118,875,74.6,15.9,2.54,39.7,0.83,11.9,1.58,161000,3.11,38.1
W40X211,W,62.1,15500,390,30.4,906,105,786,66.1,15.8,2.51,39.4,0.75,11.8,1.42,141000,3.07,38
W40X183,W,53.3,13200,331,19.3,774,88.3,675,56,15.7,2.49,39,0.65,11.8,1.2,118000,3.04,37.8
W40X167,W,49.3,11600,283,14,693,76,600,47.9,15.3,2.4,38.6,0.65,11.8,1.03,99700,2.98,37.6
W40X149,W,43.8,9800,229,9.36,598,62.2,513,38.8,15,2.29,38.2,0.63,11.8,0.83,80000,2.89,37.4
W36X925,W,272,73000,4940,1430,4130,862,3390,531,16.4,4.26,43.1,3.02,18.6,4.53,1840000,5.3,38.6
W36X853,W,251,70000,4600,1240,3920,805,3250,505,16.7,4.28,43.1,2.52,18.2,4.53,1710000,5.22,38.6
W36X802,W,236,64800,4210,1050,3660,744,3040,468,16.6,4.22,42.6,2.38,18,4.29,1540000,5.15,38.3
W36X723,W,213,57300,3700,785,3270,658,2740,416,16.4,4.17,41.8,2.17,17.8,3.9,1330000,5.06,37.9
W36X652,W,192,50600,3230,593,2910,581,2460,367,16.2,4.1,41.1,1.97,17.6,3.54,1130000,4.96,37.6
W36X529,W,156,39600,2490,327,2330,454,1990,289,16,4,39.8,1.61,17.2,2.91,846000,4.8,36.9
W36X487,W,143,36000,2250,258,2130,412,1830,263,15.8,3.96,39.3,1.5,17.1,2.68,754000,4.74,36.6
W36X441,W,130,32100,1990,194,1910,368,1650,235,15.7,3.92,38.9,1.36,17,2.44,661000,4.69,36.5
W36X395,W,116,28500,1750,142,1710,325,1490,208,15.7,3.88,38.4,1.22,16.8,2.2,575000,4.61,36.2
W36X361,W,106,25700,1570,109,1550,293,1350,188,15.6,3.85,38,1.12,16.7,2.01,509000,4.58,36
W36X330,W,96.9,23300,1420,84.3,1410,265,1240,171,15.5,3.83,37.7,1.02,16.6,1.85,456000,4.53,35.9
W36X302,W,89,21100,1300,64.3,1280,241,1130,156,15.4,3.82,37.3,0.945,16.7,1.68,412000,4.53,35.6
W36X282,W,82.9,19600,1200,52.7,1190,223,1050,144,15.4,3.8,37.1,0.885,16.6,1.57,378000,4.5,35.5
W36X262,W,77.2,17900,1090,41.6,1100,204,972,132,15.3,3.76,36.9,0.84,16.6,1.44,342000,4.46,35.5
W36X247,W,72.5,16700,1010,34.7,1030,190,913,123,15.2,3.74,36.7,0.8,16.5,1.35,316000,4.42,35.4
W36X231,W,68.2,15600,940,28.7,963,176,854,114,15.1,3.71,36.5,0.76,16.5,1.26,292000,4.4,35.2
W36X387,W,114,26500,882,172,1610,224,1360,139,15.2,2.78,39.1,1.42,12.7,2.56,294000,3.44,36.5
W36X350,W,103,23600,780,129,1440,199,1220,124,15.1,2.75,38.6,1.3,12.6,2.32,257000,3.41,36.3
W36X318,W,93.4,21200,682,98.3,1300,176,1110,110,15.1,2.7,38.2,1.18,12.4,2.13,222000,3.33,36.1
W36X286,W,83.9,18900,602,72.8,1160,156,1000,97.9,15,2.68,37.8,1.06,12.3,1.93,194000,3.29,35.9
W36X256,W,75.3,16800,528,52.9,1040,137,895,86.5,14.9,2.65,37.4,0.96,12.2,1.73,168000,3.24,35.7
W36X232,W,68,15000,468,39.6,936,122,809,77.2,14.8,2.62,37.1,0.87,12.1,1.57,148000,3.21,35.5
W36X210,W,61.9,13200,411,28,833,107,719,67.5,14.6,2.58,36.7,0.83,12.2,1.36,128000,3.18,35.3
W36X194,W,57,12100,375,22.2,767,97.7,664,61.9,14.6,2.56,36.5,0.765,12.1,1.26,116000,3.15,35.2
W36X182,W,53.6,11300,347,18.5,718,90.7,623,57.6,14.5,2.55,36.3,0.725,12.1,1.18,107000,3.13,35.1
W36X170,W,50,10500,320,15.1,668,83.8,581,53.2,14.5,2.53,36.2,0.68,12,1.1,98500,3.11,35.1
W36X160,W,47,9760,295,12.4,624,77.3,542,49.1,14.4,2.5,36,0.65,12,1.02,90200,3.09,35
W36X150,W,44.3,9040,270,10.1,581,70.9,504,45.1,14.3,2.47,35.9,0.625,12,0.94,82200,3.06,35
W36X135,W,39.9,7800,225,7,509,59.7,439,37.7,14,2.38,35.6,0.6,12,0.79,68100,2.99,34.8
